Word,Conversions,Hops
DETORSION,DETORSION DETORTION,2
DETORSION,DETORSION DETORTION DETERSION RETORSION,4
SCOBIFORM,SCOBIFORM SCORIFORM,2
REFUTABLE,REFUTABLE REFUSABLE REPUTABLE,3
GROSSNESS,GROSSNESS CROSSNESS,2
JEMMINESS,JEMMINESS GEMMINESS,2
MUSKINESS,MUSKINESS MUSTINESS,2
MUSKINESS,MUSKINESS MUSTINESS MURKINESS,3
BESLUBBER,BESLUBBER BESLOBBER,2
QUADRILLE,QUADRILLE QUADRIBLE,2
DIRUPTION,DIRUPTION DIREPTION,2
PRECATION,PRECATION PRELATION,2
COLLINGLY,COLLINGLY LOLLINGLY,2
HERBALIST,HERBALIST HERBALISM,2
HERBALIST,HERBALIST HERBALISM HERBARIST VERBALIST,4
REFITMENT,REFITMENT REMITMENT,2
DECESSION,DECESSION SECESSION,2
RESTINESS,RESTINESS RUSTINESS,2
CATCHWORK,CATCHWORK CATCHWORD PATCHWORK,3
PHOSPHIDE,PHOSPHIDE PHOSPHITE PHOSPHINE,3
UNDERHAND,UNDERHAND UNDERHANG,2
INVECTION,INVECTION INVENTION INSECTION,3
INVECTION,INVECTION INVENTION,2
PIKROLITE,PIKROLITE PICROLITE,2
BLACKLEAD,BLACKLEAD BLACKHEAD,2
INCENSION,INCENSION INCESSION INTENSION,3
INSANIATE,INSANIATE INSATIATE,2
BLANKNESS,BLANKNESS BLANDNESS,2
STOMATODE,STOMATODE STOMATODA,2
RIGHTNESS,RIGHTNESS RIGHTLESS TIGHTNESS,3
RIGHTNESS,RIGHTNESS RIGHTLESS TIGHTNESS LIGHTNESS,4
RIGHTNESS,RIGHTNESS RIGHTLESS,2
TIGHTNESS,TIGHTNESS LIGHTNESS,2
LEAVINESS,LEAVINESS LEAKINESS LEAFINESS,3
LEAVINESS,LEAVINESS LEAKINESS LEAFINESS HEAVINESS,4
UNWREATHE,UNWREATHE INWREATHE,2
ARGENTATE,ARGENTATE ARGENTITE,2
CETACEOUS,CETACEOUS CERACEOUS,2
INCAPABLY,INCAPABLY INCAPABLE,2
WATERWORT,WATERWORT WATERWORN,2
FLUXATION,FLUXATION ELUXATION,2
ENDOPLASM,ENDOPLASM ENDOPLAST,2
ANIMALISH,ANIMALISH ANIMALISM,2
LIGHTNESS,LIGHTNESS LIGHTLESS,2
WATER FOX,WATER FOX WATER POX,4
EXCITABLE,EXCITABLE EXCISABLE,2
WINDINGLY,WINDINGLY WINNINGLY WINKINGLY,3
GUIDERESS,GUIDERESS GUIDELESS,2
COMFITURE,COMFITURE CONFITURE,2
VULCANIST,VULCANIST VULCANISM,2
TAINTLESS,TAINTLESS PAINTLESS,2
ABDUCTION,ABDUCTION ADDUCTION,2
MOONSTONE,MOONSTONE MOORSTONE,2
PAINTLESS,PAINTLESS PRINTLESS POINTLESS,3
PAINTLESS,PAINTLESS PRINTLESS,2
KAINOZOIC,KAINOZOIC CAINOZOIC,2
PATCHWORK,PATCHWORK PITCHWORK,2
INVECTIVE,INVECTIVE INVESTIVE INVENTIVE,3
HOMOGRAPH,HOMOGRAPH HOLOGRAPH HODOGRAPH,3
SLIPBOARD,SLIPBOARD SHIPBOARD,2
TREATABLY,TREATABLY TREATABLE,2
BUSHINESS,BUSHINESS RUSHINESS,2
BOLOMETER,BOLOMETER HOLOMETER,2
HAGIOLOGY,HAGIOLOGY HYGIOLOGY,2
DREAMLESS,DREAMLESS DREADLESS,2
BLONDNESS,BLONDNESS BLINDNESS BLANDNESS,3
DETECTIVE,DETECTIVE DEFECTIVE,2
INTERJECT,INTERJECT INTERSECT,2
RETRACTOR,RETRACTOR REFRACTOR DETRACTOR,3
SONORIFIC,SONORIFIC SOPORIFIC,2
BOLECTION,BOLECTION BILECTION,2
LUCTATION,LUCTATION LACTATION,2
UNWITTING,UNWITTING UNSITTING,2
PHONOTYPY,PHONOTYPY PHONOTYPE,2
PHONOTYPE,PHONOTYPE PHOTOTYPE,2
DETERRENT,DETERRENT DETERMENT DETERGENT,3
CURDINESS,CURDINESS CURLINESS,2
INSURABLE,INSURABLE INCURABLE,2
DEBAUCHED,DEBAUCHED DEBAUCHER,2
DECURSION,DECURSION RECURSION,2
RETECTION,RETECTION RETENTION RESECTION REJECTION REFECTION,5
RETECTION,RETECTION RETENTION RESECTION,3
EPHEMERAL,EPHEMERAL EPHEMERAN,2
MACTATION,MACTATION LACTATION,2
FEROCIOUS,FEROCIOUS FERACIOUS,2
EARTHWORM,EARTHWORM EARTHWORK,2
FORNICATE,FORNICATE FORMICATE,2
DIDELPHIC,DIDELPHIC DIDELPHID DIDELPHIA,3
INEFFABLY,INEFFABLY INEFFABLE,2
DIREPTION,DIREPTION DIRECTION,2
FURACIOUS,FURACIOUS FUMACIOUS FUGACIOUS FERACIOUS,4
FURACIOUS,FURACIOUS FUMACIOUS FUGACIOUS,3
EVOCATION,EVOCATION EVOLATION,2
EVOCATION,EVOCATION EVOLATION AVOCATION,3
INDOLENCY,INDOLENCY INSOLENCY,2
RECURSION,RECURSION RECUSSION,2
SUCTORIAL,SUCTORIAL SUCTORIAN SECTORIAL,3
INVISIBLY,INVISIBLY INVISIBLE,2
INVISIBLE,INVISIBLE UNVISIBLE,2
PRORECTOR,PRORECTOR PROTECTOR,2
PRORECTOR,PRORECTOR PROTECTOR PROSECTOR,3
OVERNIGHT,OVERNIGHT OVERLIGHT OVERDIGHT,3
STRYCHNIA,STRYCHNIA STRYCHNIC,2
CARBONATE,CARBONATE CARBONITE,2
DEPULSION,DEPULSION DEMULSION REPULSION,3
UNDERKEEP,UNDERKEEP UNDERPEEP,2
MORTIFIED,MORTIFIED MORTIFIER,2
OVERSTROW,OVERSTROW OVERSTREW OVERSTRAW,3
SINISTRAD,SINISTRAD SINISTRAL,2
OBREPTION,OBREPTION ABREPTION,2
CORVORANT,CORVORANT CORMORANT,2
COMMORANT,COMMORANT CORMORANT,2
SECTORIAL,SECTORIAL TECTORIAL,2
RUSHINESS,RUSHINESS RUSTINESS,2
EVOLATION,EVOLATION EVOLUTION,2
REDUCTIVE,REDUCTIVE SEDUCTIVE,2
COTICULAR,COTICULAR CUTICULAR,2
DISPLAYED,DISPLAYED DISPLAYER,2
INTERMINE,INTERMINE INTERMISE,2
MISTEMPER,MISTEMPER DISTEMPER,2
WOUNDLESS,WOUNDLESS SOUNDLESS BOUNDLESS,3
INCENTIVE,INCENTIVE INCENSIVE INCEPTIVE INVENTIVE,4
BUTCHERLY,BUTCHERLY BOTCHERLY,2
ENCURTAIN,ENCURTAIN UNCURTAIN INCURTAIN,3
INSERTION,INSERTION INSECTION,2
TREATABLE,TREATABLE CREATABLE,2
CURLINESS,CURLINESS SURLINESS,2
GLYCERATE,GLYCERATE GLYCERITE,2
FULGURITE,FULGURITE FULGURATE,2
APPOINTOR,APPOINTOR APPOINTER,2
RUSTINESS,RUSTINESS MUSTINESS LUSTINESS FUSTINESS DUSTINESS,5
RUSTINESS,RUSTINESS MUSTINESS LUSTINESS,3
RUSTINESS,RUSTINESS MUSTINESS,2
MILESTONE,MILESTONE MILLSTONE TILESTONE,3
COMMENTER,COMMENTER COMMENDER,2
DEFECTION,DEFECTION DETECTION REFECTION,3
HOROMETER,HOROMETER HOLOMETER,2
TELEPHOTE,TELEPHOTE TELEPHONE,2
MAMMONISM,MAMMONISM MAMMONIST MAMMONISH,3
INDENTION,INDENTION INVENTION,2
LIGHTLESS,LIGHTLESS RIGHTLESS NIGHTLESS MIGHTLESS,4
LIGHTLESS,LIGHTLESS RIGHTLESS,2
DEPORTURE,DEPORTURE DEPARTURE,2
MONOMETER,MONOMETER MANOMETER TONOMETER SONOMETER,4
HOLOMETER,HOLOMETER HODOMETER HALOMETER,3
TEACHLESS,TEACHLESS REACHLESS,2
TRITORIUM,TRITORIUM TRITURIUM TRIFORIUM,3
CONFITURE,CONFITURE CONFIXURE CONFIGURE,3
INPATIENT,INPATIENT IMPATIENT,2
BISECTION,BISECTION BILECTION,2
GROSSBEAK,GROSSBEAK CROSSBEAK,2
SPACELESS,SPACELESS SPARELESS,2
PHENOLOGY,PHENOLOGY PHONOLOGY,2
INTERSECT,INTERSECT INTERSERT,2
CHANCEFUL,CHANCEFUL CHANGEFUL,2
PRECISION,PRECISION PREVISION,2
JERFALCON,JERFALCON GERFALCON,2
DUSTINESS,DUSTINESS DUSKINESS MUSTINESS LUSTINESS,4
DUSTINESS,DUSTINESS DUSKINESS MUSTINESS,3
SUPERHIVE,SUPERHIVE SUPERVIVE,2
TROTHLESS,TROTHLESS TRUTHLESS,2
PASTORAGE,PASTORAGE PASTORATE PASTORALE,3
STRIPLING,STRIPLING STRIPPING,2
PICROLITE,PICROLITE MICROLITE,2
FLUTTERER,FLUTTERER FLATTERER,2
PROTECTOR,PROTECTOR PROSECTOR,2
REFECTION,REFECTION REFACTION RESECTION,3
RABIDNESS,RABIDNESS RAPIDNESS,2
REFERMENT,REFERMENT DEFERMENT,2
PROPODIAL,PROPODIAL PROSODIAL,2
WALLOWISH,WALLOWISH WILLOWISH TALLOWISH SALLOWISH,4
WHEREUNTO,WHEREUNTO THEREUNTO,2
MIGHTLESS,MIGHTLESS RIGHTLESS,2
EPISTOLET,EPISTOLET EPISTOLER,2
POLLINATE,POLLINATE POLLICATE,2
LUSTINESS,LUSTINESS MUSTINESS,2
SERVITURE,SERVITURE SERVITUTE SERVITUDE,3
GRAPELESS,GRAPELESS GRAVELESS GRACELESS,3
SIPHONAGE,SIPHONAGE SIPHONATE,2
PHONOLOGY,PHONOLOGY PHOTOLOGY,2
CHATTERER,CHATTERER CHARTERER CLATTERER,3
DEFECTIVE,DEFECTIVE REFECTIVE,2
INAMORATA,INAMORATA INAMORATO INAMORATE,3
FLATTERER,FLATTERER CLATTERER,2
DEPARTURE,DEPARTURE DEPASTURE,2
